Number	GroupName	SYP_DESCC	InventoryAccount	VarianceAccount	ExpensesAccount	ExchangeRateDifferencesAccount	PurchaseAccount	StockInTransitAccount	CostAccount	TransfersAccount	RevenuesAccount	DecreasingAccount	IncreasingAccount	ReturningAccount	ForeignRevenuesAccount	ForeignExpensesAccount	PriceDifferencesAccount	GoodsClearingAccount	PAReturnAccount	PurchaseOffsetAccount	ShippedGoodsAccount	DecreaseGLAccount	IncreaseGLAccount	StockInflationAdjustAccount	StockInflationOffsetAccount	ExpenseClearingAct	ExpenseOffsetAccount	SalesCreditAcc	SalesCreditForeignAcc	PurchaseCreditAcc	ForeignPurchaseCreditAcc	RevRetAct	NegativeInventoryAdjustmentAccount	PurchaseBalanceAccount	U_SYP_GRINV	U_SYP_GRCOM	U_SYP_GRVEN	U_SYP_PREFIJO
ItmsGrpCod	ItmsGrpNam	SYP_DESCC	BalInvntAc	VarianceAc	ExpensesAc	ExchangeAc	PurchaseAc	StkInTnAct	SaleCostAc	TransferAc	RevenuesAc	DecreasAc	IncreasAc	ReturnAc	FrRevenuAc	FrExpensAc	PriceDifAc	BalanceAcc	PAReturnAc	PurchOfsAc	ShpdGdsAct	DecresGlAc	IncresGlAc	StokRvlAct	StkOffsAct	ExpClrAct	ExpOfstAct	ARCMAct	ARCMFrnAct	APCMAct	APCMFrnAct	RevRetAct	NegStckAct	PurBalAct	U_SYP_GRINV	U_SYP_GRCOM	U_SYP_GRVEN	U_SYP_PREFIJO
23111001	PP -Manufacturados	Productos en Proceso de Manufactura	23111001	71311001	65611001	67611001	60181001	28151001	69151001	42111003	70261001	71311001	71311001	23111001	70261001	65611001	69151001	42111003	60181001	71311001	60181001	71311001	71311001	71311001		60919002	69151001	70261001	70261001	71311001	71311001			71311001	Y	Y	Y	
23211001	PP - de Extracción	Productos Extraídos en proceso de Transformación	23211001	71321001	65611001	67611001	60181001	28151001	69151001	42111003	70261001	71321001	71321001	23211001	70261001	65611001	69151001	42111003	60181001	71321001	60181001	71321001	71321001	71321001		60919002	69151001	70261001	70261001	71321001	71321001			71321001	Y	Y	Y	
23311001	PP - Origen Animal 	Prod. En Proceso de Origen Animal - Costo	23311001	71331001	65611001	67611001	60181001	28151001	69151001	42111003	70261001	71331001	71331001	23311001	70261001	65611001	69151001	42111003	60181001	71331001	60181001	71331001	71331001	71331001		60919002	69151001	70261001	70261001	71331001	71331001			71331001	Y	Y	Y	
23321001	PP - Origen Vegetal 	Prod. En Proceso de Origen Vegetal - Costo	23321001	71331001	65611001	67611001	60181001	28151001	69151001	42111003	70261001	71331001	71331001	23321001	70261001	65611001	69151001	42111003	60181001	71331001	60181001	71331001	71331001	71331001		60919002	69151001	70261001	70261001	71331001	71331001			71331001	Y	Y	Y	
23411001	PP - Inmuebles 	Productos Inmuebles en Proceso	23411001	71341001	65611001	67611001	60181001	28151001	69151001	42111003	70261001	71341001	71341001	23411001	70261001	65611001	69151001	42111003	60181001	71341001	60181001	71341001	71341001	71341001		60919002	69151001	70261001	70261001	71341001	71341001			71341001	N	Y	Y	
23511001	PP - Servicios	Productos en Proceso de Servicios	23511001	71351001	65611001	67611001	60181001	28151001	69151001	42111003	70261001	71351001	71351001	23511001	70261001	65611001	69151001	42111003	60181001	71351001	60181001	71351001	71351001	71351001		60919002	69151001	70261001	70261001	71351001	71351001			71351001	N	Y	Y	
23711001	PP - Otros 	Otros Productos en Proceso	23711001	71381001	65611001	67611001	60181001	28151001	69151001	42111003	70261001	71381001	71381001	23711001	70261001	65611001	69151001	42111003	60181001	71381001	60181001	71381001	71381001	71381001		60919002	69151001	70261001	70261001	71381001	71381001			71381001	Y	Y	Y	
24111001	MP - /Manufacturados	Materia Prima para Prod. Manufacturados	24111001	61211001	65611001	67611001	60211001	28411001	69151001	42111003	70261001	61211001	61211001	24111001	70261001	65611001	69151001	42111003	60211001	61211001	60211001	61211001	61211001	61211001		60919002	69151001	70261001	70261001	61211001	61211001			61211001	Y	Y	Y	
24211001	MP - /Extracción	Materias Primas para Productos de Extracción	24211001	61221001	65611001	67611001	60221001	28411001	69151001	42111003	70261001	61221001	61221001	24211001	70261001	65611001	69151001	42111003	60221001	61221001	60221001	61221001	61221001	61221001		60919002	69151001	70261001	70261001	61221001	61221001			61221001	Y	Y	Y	
24311001	MP - /AgropYPiscicls	Materias Primas para Productos Agropec. Y Piscicolas	24311001	61231001	65611001	67611001	60231001	28411001	69151001	42111003	70261001	61231001	61231001	24311001	70261001	65611001	69151001	42111003	60231001	61231001	60231001	61231001	61231001	61231001		60919002	69151001	70261001	70261001	61231001	61231001			61231001	Y	Y	Y	
24411001	MP - /Inmuebles	Materias Primas para Productos Inmuebles	24411001	61241001	65611001	67611001	60241001	28411001	69151001	42111003	70261001	61241001	61241001	24411001	70261001	65611001	69151001	42111003	60241001	61241001	60241001	61241001	61241001	61241001		60919002	69151001	70261001	70261001	61241001	61241001			61241001	N	Y	Y	
25111001	SM - Auxiliares	Materiales Auxiliares	25111001	61311001	65611001	67611001	60311001	28511001	69151001	42111003	70261001	61311001	61311001	25111001	70261001	65611001	69151001	42111003	60311001	61311001	60311001	61311001	61311001	61311001		60919002	69151001	70261001	70261001	61311001	61311001			61311001	Y	Y	Y	
25211001	SM - Combustibles	Suministros  - Combustibles	25211001	61321001	65611001	67611001	60321001	28521001	69151001	42111003	70261001	61321001	61321001	25211001	70261001	65611001	69151001	42111003	60321001	61321001	60321001	61321001	61321001	61321001		60919002	69151001	70261001	70261001	61321001	61321001			61321001	Y	Y	Y	
25221001	SM - Lubricantes	Suministros - Lubricantes	25221001	61321001	65611001	67611001	60321001	28522001	69151001	42111003	70261001	61321001	61321001	25221001	70261001	65611001	69151001	42111003	60321001	61321001	60321001	61321001	61321001	61321001		60919002	69151001	70261001	70261001	61321001	61321001			61321001	Y	Y	Y	
25231001	SM - Energía	Suministros - Energía	25231001	61321001	65611001	67611001	60321001	28523001	69151001	42111003	70261001	61321001	61321001	25231001	70261001	65611001	69151001	42111003	60321001	61321001	60321001	61321001	61321001	61321001		60919002	69151001	70261001	70261001	61321001	61321001			61321001	N	Y	Y	
25241001	SM - Otros 	Otros Suministros	25241001	61321001	65611001	67611001	60321001	28524001	69151001	42111003	70261001	61321001	61321001	25241001	70261001	65611001	69151001	42111003	60321001	61321001	60321001	61321001	61321001	61321001		60919002	69151001	70261001	70261001	61321001	61321001			61321001	Y	Y	Y	
25311001	RP - Repuestos	Repuestos	25311001	61331001	65611001	67611001	60321001	28531001	69151001	42111003	70261001	61331001	61331001	25311001	70261001	65611001	69151001	42111003	60321001	61331001	60321001	61331001	61331001	61331001		60919002	69151001	70261001	70261001	61331001	61331001			61331001	Y	Y	Y	
26111001	EE - Envases	Envases	26111001	61411001	65611001	67611001	60411001	28611001	69151001	42111003	70261001	61411001	61411001	26111001	70261001	65611001	69151001	42111003	60411001	61411001	60411001	61411001	61411001	61411001		60919002	69151001	70261001	70261001	61411001	61411001			61411001	Y	Y	Y	
26211001	EE - Embalajes	Embalajes	26211001	61411001	65611001	67611001	60421001	28621001	69151001	42111003	70261001	61411001	61411001	26211001	70261001	65611001	69151001	42111003	60421001	61411001	60421001	61411001	61411001	61411001		60919002	69151001	70261001	70261001	61411001	61411001			61411001	Y	Y	Y	
