Code	NAME	FatherAccountKey	ActiveAccount	AcctCurrency	AccountType	LockManualTransaction	CashAccount	CfwRlvnt	BudgetAccount	RateExch	DistributionRuleRelevant	DistributionRule2Relevant	DistributionRule3Relevant	DistributionRule4Relevant	DistributionRule5Relevant	U_SYP_CBALC	U_CTA_PAT	U_SYP_CLCB
AcctCode	ACCTNAME	FatherNum	Postable	ActCurr	ActType	LocManTran	Finanse	CfwRlvnt	Budget	ExchRate	Dim1Relvnt	Dim2Relvnt	Dim3Relvnt	Dim4Relvnt	Dim5Relvnt	U_SYP_CBALC	U_CTA_PAT	U_SYP_CLCB
13111001	CTAS POR COBRAR MATRIZ -NO EMITIDAS	1311	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13112001	CTAS POR COBRAR SUBSIDIARIA -NO EMITIDAS	1311	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13113001	CTAS POR COBRAR ASOCIADA - M/N -NO EMITIDAS	1311	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13113002	CTAS POR COBRAR ASOCIADA - M/E -NO EMITIDAS	1311	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13114001	CUENTAS POR COBRAR SUCURSAL -NO EMITIDAS	1311	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13115001	CUENTAS POR COBRAR OTROS -NO EMITIDAS	1311	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1312	EMITIDAS EN CARTERA	131	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
13121001	CUENTAS POR COBRAR MATRIZ -EN CARTERA	1312	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13122001	CUENTAS POR COBRAR SUBSIDIARIA -EN CARTERA	1312	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13123001	CTAS POR COBRAR ASOCIADA - M/N -EN CARTERA	1312	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13123002	CTAS POR COBRAR ASOCIADA - M/E -EN CARTERA	1312	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13124001	CUENTAS POR COBRAR SUCURSAL -EN CARTERA	1312	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13125001	CUENTAS POR COBRAR OTROS -EN CARTERA	1312	tYES	US$	at_Other	  		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1313	EN COBRANZA	131	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
13131001	CUENTAS POR COBRAR MATRIZ - EN COBRANZA	1313	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13132001	CUENTAS POR COBRAR SUBSIDIARIA- EN COBRANZA	1313	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13133001	CTAS POR COBRAR ASOCIADA - M/N- EN COBRANZA	1313	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13133002	CTAS POR COBRAR ASOCIADA - M/E- EN COBRANZA	1313	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13134001	CTAS POR COBRAR SUCURSAL- EN COBRANZA	1313	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13135001	CTAS POR COBRAR OTROS- EN COBRANZA	1313	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1314	EN DESCUENTO	131	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
13141001	CUENTAS POR COBRAR MATRIZ - EN DESCUENTO	1314	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13142001	CUENTAS POR COBRAR SUBSIDIARIA - EN DESCUENTO	1314	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13143001	CTAS POR COBRAR ASOCIADA - M/N - EN DESCUENTO	1314	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13143002	CTAS POR COBRAR ASOCIADA - M/E - EN DESCUENTO	1314	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13144001	CTAS POR COBRAR SUCURSAL - EN DESCUENTO	1314	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13145001	CTAS POR COBRAR OTROS - EN DESCUENTO	1314	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
132	ANTICIPOS RECIBIDOS	13	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
1321	ANTICIPOS RECIBIDOS	132	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
13211001	ANTICIPO RECIBIDOS MATRIZ - M/N	1321	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13211002	ANTICIPO RECIBIDOS MATRIZ - M/E	1321	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13212001	ANTICIPO RECIBIDOS SUBSIDIARIAS	1321	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13213001	ANTICIPO RECIBIDOS ASOCIADAS	1321	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13214001	ANTICIPO RECIBIDOS SUCURSALES	1321	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13215001	ANTICIPO RECIBIDOS OTROS	1321	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
133	LETRAS POR COBRAR	13	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
1331	EN CARTERA	133	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
13311001	LETRAS POR COBRAR MATRIZ - EN CARTERA	1331	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13312001	LETRAS POR COBRAR SUBSIDIARIA - EN CARTERA	1331	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13313001	LETRAS POR COBRAR ASOCIADA - M/N - EN CARTERA	1331	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13313002	LETRAS POR COBRAR ASOCIADA - M/E - EN CARTERA	1331	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13314001	LETRAS POR COBRAR SUCURSAL - EN CARTERA	1331	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13315001	LETRAS POR COBRAR OTROS - EN CARTERA	1331	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1332	EN COBRANZA	133	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
13321001	LETRAS POR COBRAR MATRIZ - EN COBRANZA	1332	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13322001	LETRAS POR COBRAR SUBSIDIARIA - EN COBRANZA	1332	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13323001	LETRAS POR COBRAR ASOCIADA - M/N - EN COBRANZA	1332	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13323002	LETRAS POR COBRAR ASOCIADA - M/E - EN COBRANZA	1332	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13324001	LETRAS POR COBRAR SUCURSAL - EN COBRANZA	1332	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13325001	LETRAS POR COBRAR OTROS - EN COBRANZA	1332	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1333	EN DESCUENTO	133	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
13331001	LETRAS POR COBRAR MATRIZ - EN DESCUENTO	1333	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13332001	LETRAS POR COBRAR SUBSIDIARIA - EN DESCUENTO	1333	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13333001	LETRAS POR COBRAR ASOCIADA- M/N - EN DESCUENTO	1333	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13333002	LETRAS POR COBRAR ASOCIADA - M/E - EN DESCUENTO	1333	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13334001	LETRAS POR COBRAR SUCURSAL - EN DESCUENTO	1333	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
13335001	LETRAS POR COBRAR OTROS - EN DESCUENTO	1333	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14	CUENTAS POR COBRAR AL PERSONAL, A LOS ACCIONISTAS (SOCIOS), DIRECTORES Y GERENTES	100000000000000	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
141	PERSONAL	14	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
1411	PRÉSTAMOS	141	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14111001	PRESTAMOS AL PERSONAL - EMPLEADOS - M/N	1411	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14111002	PRESTAMOS AL PERSONAL - EMPLEADOS - M/E	1411	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14112001	PRESTAMOS AL PERSONAL - OBREROS - M/N	1411	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14112002	PRESTAMOS AL PERSONAL - OBREROS - M/E	1411	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14113001	PRESTAMOS AL PERSONAL - PRO JOVEN MN	1411	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14113002	PRESTAMOS AL PERSONAL - PRACTICANTE MN	1411	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1412	ADELANTO DE REMUNERACIONES	141	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14121001	ADELANTO DE REMUNERACIONES - EMPLEADOS	1412	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14121002	ADELANTO DE REMUNERACIONES - OBREROS	1412	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14121003	ADELANTO DE GRATIFICACIONES - EMPLEADOS	1412	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14121004	ADELANTO DE GRATIFICACIONES - OBREROS	1412	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14121005	ADELANTO DE VACACIONES - EMPLEADOS	1412	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14121006	ADELANTO DE VACACIONES - OBREROS	1412	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14121007	VALES DE ALIMENTOS	1412	tYES	##	at_Other	  		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1413	ENTREGAS A RENDIR CUENTA	141	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14131001	ENTREGAS A RENDIR CUENTA - EMPLEADOS MN	1413	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14131002	ENTREGAS A RENDIR CUENTA - EMPLEADOS ME	1413	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14132001	ENTREGAS A RENDIR CUENTA - OBREROS MN	1413	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14132002	ENTREGAS A RENDIR CUENTA - OBREROS ME	1413	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1419	OTRAS CUENTAS POR COBRAR AL PERSONAL	141	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14191001	OTRAS CTAS POR COBRAR AL PERSONAL - EMPLEADOS MN	1419	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14191002	OTRAS CTAS POR COBRAR AL PERSONAL - EMPLEADOS ME	1419	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14192001	OTRAS CTAS POR COBRAR AL PERSONAL - EMPLEADOS MN	1419	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14192002	OTRAS CTAS POR COBRAR AL PERSONAL - EMPLEADOS ME	1419	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
142	ACCIONISTAS (O SOCIOS)	14	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
